Date and Time:                Mon May 26 12:31:36.898 2025
Software Version:             4.30.30034.0
Temperature (C):              -35
Model:                        DU401_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Accumulate Cycle Time (secs): 0.1
Frequency (Hz):               10
Number of Accumulations:      15
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 16.25
Pixel Readout Time (usecs):   10
Serial Number:                24210
Pre-Amplifier Gain:           1.7x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
DongWooDM500i:
Serial Number:                
Wavelength (nm):              690
Grating Groove Density (l/mm):1200


691.28485	221
691.32153	220
691.35822	227
691.3949	250
691.43158	258
691.46826	285
691.50494	282
691.54163	316
691.57831	334
691.61499	325
691.65167	378
691.68835	445
691.72504	481
691.76172	554
691.7984	686
691.83508	877
691.8717	1180
691.90839	1614
691.94507	2302
691.98175	3478
692.01837	5355
692.05505	7383
692.09174	8033
692.12836	6759
692.16504	4669
692.20172	3075
692.23834	2054
692.27502	1475
692.31171	1110
692.34833	875
692.38501	722
692.42163	622
692.45831	558
692.49493	489
692.53162	453
692.56824	421
692.60486	414
692.64154	399
692.67816	375
692.71484	391
692.75146	372
692.78809	374
692.82471	405
692.86139	438
692.89801	434
692.93463	473
692.97125	469
693.00793	504
693.04456	557
693.08118	603
693.1178	701
693.15442	820
693.19104	920
693.22766	1081
693.26428	1364
693.3009	1759
693.33752	2273
693.37415	3099
693.41077	4283
693.44739	5976
693.48401	8450
693.52063	10885
693.55725	11537
693.59387	10098
693.63049	7604
693.66711	5333
693.70367	3761
693.7403	2744
693.77692	2116
693.81354	1638
693.85016	1344
693.88672	1112
693.92334	938
693.95996	807
693.99652	705
694.03314	618
694.06976	566
694.10632	488
694.14294	447
694.1795	415
694.21613	366
694.25269	354
694.28931	318
694.32587	317
694.36249	298
694.39905	264
694.43567	258
694.47223	269
694.50879	248
694.54541	222
694.58197	233
694.61853	230
694.65515	233
694.69171	195
694.72827	186
694.76483	202
694.80145	171
694.83801	186
694.87457	183
694.91113	181
694.94769	159
694.98425	173
695.02081	157
695.05737	174
695.09393	159
695.13049	142
695.16705	142
695.20361	171
695.24017	147
695.27673	143
695.31329	137
695.34985	154
695.38641	146
695.42297	138
695.45953	130
695.49609	145
695.53259	146
695.56915	129
695.60571	113
695.64227	144
695.67877	130
695.71533	115
695.75189	121
695.78839	127
695.82495	135
695.86151	129
695.89801	124
695.93457	136
695.97107	109
696.00763	99
696.04419	118
696.08069	126
696.11725	119
696.15375	123
696.19025	117
696.22681	119
696.26331	131
696.29987	100
696.33636	101
696.37286	121
696.40942	118
696.44592	117
696.48242	123
696.51892	117
696.55548	120
696.59198	115
696.62848	112
696.66498	121
696.70148	93
696.73798	98
696.77454	101
696.81104	96
696.84753	111
696.88403	99
696.92053	98
696.95703	115
