Date and Time:                Mon May 26 09:39:38.863 2025
Software Version:             4.30.30034.0
Temperature (C):              -35
Model:                        DU401_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Accumulate Cycle Time (secs): 0.1
Frequency (Hz):               10
Number of Accumulations:      15
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 16.25
Pixel Readout Time (usecs):   10
Serial Number:                24210
Pre-Amplifier Gain:           1.7x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
DongWooDM500i:
Serial Number:                
Wavelength (nm):              690
Grating Groove Density (l/mm):1200


692.64154	1820
692.67816	2007
692.71484	2212
692.75146	2376
692.78809	2459
692.82471	2456
692.86139	2414
692.89801	2236
692.93463	2061
692.97125	1872
693.00793	1701
693.04456	1509
693.08118	1372
693.1178	1212
693.15442	1104
693.19104	1043
693.22766	947
693.26428	894
693.3009	861
693.33752	791
693.37415	755
693.41077	782
693.44739	768
693.48401	754
693.52063	762
693.55725	794
693.59387	802
693.63049	834
693.66711	882
693.70367	935
693.7403	1019
693.77692	1079
693.81354	1138
693.85016	1281
693.88672	1434
693.92334	1527
693.95996	1683
693.99652	1872
694.03314	2079
694.06976	2267
694.10632	2434
694.14294	2667
694.1795	2851
694.21613	3027
694.25269	3106
694.28931	3137
694.32587	3151
694.36249	3052
694.39905	2944
694.43567	2791
694.47223	2585
694.50879	2369
694.54541	2154
694.58197	1982
694.61853	1821
694.65515	1644
694.69171	1496
694.72827	1343
694.76483	1221
694.80145	1113
694.83801	1017
694.87457	941
694.91113	877
694.94769	794
694.98425	730
695.02081	701
695.05737	666
695.09393	605
695.13049	549
695.16705	535
695.20361	507
695.24017	456
695.27673	439
695.31329	416
695.34985	407
695.38641	350
695.42297	353
695.45953	353
695.49609	316
695.53259	297
695.56915	275
695.60571	285
695.64227	253
695.67877	263
695.71533	248
695.75189	227
695.78839	240
695.82495	197
695.86151	209
695.89801	195
695.93457	192
695.97107	181
696.00763	170
696.04419	180
696.08069	178
696.11725	157
696.15375	161
